"","Manuscript_Species","BREWTON1_2021","BREWTON1_2022","BREWTON2_2021","BREWTON2_2022","EVS1_2021","EVS2_2021","EVS2_2022","GULFCOAST1_2021","GULFCOAST1_2022","GULFCOAST2_2021","GULFCOAST2_2022","LAWRENCE1","LAWRENCE1_2022","LAWRENCE2","LAWRENCE2_2022","Prattville1","PRATTVILLE1_2021","PRATTVILLE1_2022","Prattville2","PRATTVILLE2_2021","PRATTVILLE2_2022","TVREC1_2021","TVREC1_2022","TVREC2_2021","TVREC2_2022","WIREGRASS_2021","WIREGRASS_2022"
"20","Globisporangium sp. UZ277",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Pythium vanterpoolii",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Globisporagium acanthophoron",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"23","Phytophthora nicotianae",0,0,0,0,0,0,0,0,5,0,11,4,4,0,7,0,0,0,0,0,0,1,1,14,10,0,0
"24","Globisporangium attrantheridium",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Globisporangium sp. Lev1523",0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"26","Pythium dissotocum",0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0
"27","Globisporangium heterothallicum",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Globisporangium nunn",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"29","Globisporangium pleroticum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Globisporangium yorkense",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Pythium periplocum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"32","Pythium sp. P056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"33","Phytophthora cactorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"34","Phytophthora aff. rosacearum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"35","Pythium coloratum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"36","Pythium oopapillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"37","Globisporangium glomeratum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"38","Globisporangium minus/pleroticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"39","Lagenidium sp. SLG-2014b LEV 6562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
