Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,,
2022-05-16 12:00 AM CDT,65.5,89.2,76.44,0.09,85.3,40.5,76.3,83.7,79.56,0.11,0.12,0.11,,,,
2022-05-17 12:00 AM CDT,72.3,89.3,79.98,0.01,85.3,53.8,78.8,84.9,81.55,0.11,0.12,0.11,,,,
2022-05-18 12:00 AM CDT,75.2,88.1,81.04,0,85.2,60.9,80.5,85.9,82.76,0.12,0.12,0.11,,,,
2022-05-19 12:00 AM CDT,72.5,88.1,80.49,0,76.6,45.7,80.6,86.7,83.23,0.12,0.12,0.12,,,,
2022-05-20 12:00 AM CDT,71.8,87.5,79.47,0,81.6,56.1,80.6,85.5,83.01,0.12,0.13,0.12,,,,
2022-05-21 12:00 AM CDT,74.1,89.3,79.9,0.39,85.3,58.5,80.8,84.7,82.8,0.12,0.12,0.12,,,,
2022-05-22 12:00 AM CDT,69.3,82.4,74.4,0.16,84.6,64.8,77.7,81.6,79.78,0.12,0.13,0.11,,,,
2022-05-23 12:00 AM CDT,69.3,80.6,73.87,0.46,85.9,71.8,76.3,79.3,77.71,0.12,0.13,0.12,,,,
2022-05-24 12:00 AM CDT,70.9,87.4,78.44,0.01,85.5,63.8,76.4,82.3,79.1,0.13,0.13,0.12,,,,
2022-05-25 12:00 AM CDT,70.6,85.9,76.52,2.27,84.9,68.4,75.6,81.8,78.74,0.12,0.13,0.11,,,,
2022-05-26 12:00 AM CDT,69.5,79.3,73.15,1.58,85.3,70.3,72.3,77.5,76.02,0.14,0.15,0.12,,,,
2022-05-27 12:00 AM CDT,67.8,86.8,77.44,0,85.4,28.6,74.3,81,77.06,0.16,0.17,0.15,,,,
2022-05-28 12:00 AM CDT,63.1,85.4,73.77,0,74.7,29.2,74.3,81.6,77.72,0.19,0.22,0.17,,,,
2022-05-29 12:00 AM CDT,64.2,84.4,74.08,0,83.7,55.1,76.4,81,78.56,0.23,0.24,0.22,,,,
2022-05-30 12:00 AM CDT,69.2,88.7,78.84,0,85.4,30.8,77,83.9,80.02,0.24,0.25,0.24,,,,
2022-05-31 12:00 AM CDT,72,89.6,78.55,0,85.5,49.6,79.3,84.1,81.59,0.24,0.25,0.24,,,,
2022-06-01 12:00 AM CDT,70,90.7,78.91,0,86.1,47.2,79.3,86.3,82.38,0.25,0.25,0.24,,,,
2022-06-02 12:00 AM CDT,70.4,90.6,80.72,0,85.3,41.2,81,87.7,84.01,0.24,0.25,0.23,,,,
2022-06-03 12:00 AM CDT,70.3,90.6,79.04,0.02,83.9,48.7,82.1,86.9,84.41,0.24,0.25,0.23,,,,
2022-06-04 12:00 AM CDT,70.5,90.5,80.21,0,74.1,38.2,81,87.7,84.03,0.25,0.26,0.24,,,,
2022-06-05 12:00 AM CDT,68.2,90.1,78.91,0,74.2,34.1,82,87.7,84.74,0.25,0.26,0.25,,,,
2022-06-06 12:00 AM CDT,69.5,89.6,79.26,0,83.9,45.1,82,88.6,84.96,0.26,0.27,0.25,,,,
2022-06-07 12:00 AM CDT,71.7,89.3,80.48,0,84.4,47.8,83.1,89.2,85.85,0.26,0.26,0.25,,,,
2022-06-08 12:00 AM CDT,73.4,91.5,82.82,0,78,43,84.1,90.1,86.8,0.26,0.27,0.25,,,,
2022-06-09 12:00 AM CDT,76.5,92.4,82.57,0.64,81.5,50.8,85.5,88.8,86.84,0.25,0.26,0.23,,,,
2022-06-10 12:00 AM CDT,71.3,90.1,78.61,0,85.3,58.1,82.9,86.9,84.45,0.23,0.24,0.21,,,,
2022-06-11 12:00 AM CDT,70.1,89.9,80.04,0,82.4,45.3,80.6,87.3,83.61,0.21,0.22,0.2,,,,
2022-06-12 12:00 AM CDT,75.8,91.9,83.43,0,84.9,52.1,83.1,88.2,85.42,0.19,0.2,0.18,,,,
2022-06-13 12:00 AM CDT,81.8,92.2,85.63,0,72.2,52.1,84.7,90.1,87.05,0.17,0.18,0.16,,,,
2022-06-14 12:00 AM CDT,73.1,93.6,84.7,0,72.2,46.6,85.5,90.7,87.8,0.16,0.17,0.15,,,,
2022-06-15 12:00 AM CDT,72.8,93.4,82.43,0,84,55.3,84.5,90.1,87.16,0.15,0.16,0.14,,,,
2022-06-16 12:00 AM CDT,76.6,93.2,83.91,0,75.9,57.5,85.7,90.5,87.91,0.14,0.15,0.14,,,,
2022-06-17 12:00 AM CDT,75.3,96.6,85.39,0,84.3,40.5,85.3,91.8,88.32,0.14,0.15,0.13,,,,
2022-06-18 12:00 AM CDT,80.3,99.1,88.74,0,71.1,32.9,87.1,92.9,89.73,0.14,0.15,0.14,,,,
2022-06-19 12:00 AM CDT,76.7,96.5,85.74,0,70.5,22,87.1,92.9,89.75,0.15,0.15,0.14,,,,
2022-06-20 12:00 AM CDT,76.7,95.8,84.58,0,72.8,38.8,87.1,91.4,89.26,0.15,0.16,0.15,,,,
2022-06-21 12:00 AM CDT,74,93.1,82.09,0.18,84.3,53.1,86.3,89.6,87.93,0.16,0.16,0.15,,,,
2022-06-22 12:00 AM CDT,76.5,98.3,86.26,0,85.4,30.6,84.5,90.9,87.24,0.15,0.16,0.14,,,,
2022-06-23 12:00 AM CDT,76.8,99.9,87.55,0,70.8,31.5,85.5,92.2,88.48,0.14,0.15,0.13,,,,
2022-06-24 12:00 AM CDT,76.5,99.3,85.87,0,75.6,29.5,86.7,92.2,89.23,0.13,0.14,0.12,,,,
2022-06-25 12:00 AM CDT,72.8,92.7,80.65,0.2,84.8,54.4,83.9,89.6,87.09,0.13,0.14,0.13,,,,
2022-06-26 12:00 AM CDT,74.9,88.3,77.78,0.14,85.7,63.4,82.1,84.9,83.27,0.35,0.36,0.14,,,,
2022-06-27 12:00 AM CDT,73.3,91.8,81.81,0.07,85.6,45,80.3,87.7,83.54,0.35,0.36,0.33,,,,
2022-06-28 12:00 AM CDT,72.5,92.3,80.56,0,82.4,40.6,81.4,87.5,84.22,0.45,0.48,0.34,,,,
2022-06-29 12:00 AM CDT,72,83.5,76.03,0.71,83.6,61.8,80.1,84.5,81.82,32.35,52.9,0.47,,,,
2022-06-30 12:00 AM CDT,71.9,84.9,76.97,2.8,84.7,65.8,73.3,81,78.92,53.85,56.3,48.9,,,,
