Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,,Tenn Valley REC WLL,
2022-06-14 12:00 AM CDT,74.5,95.8,85.73,0,90.4,47.6,79.5,81.8,80.39,0.27,0.31,0.23,60.1,40.8
2022-06-15 12:00 AM CDT,74.8,97.3,85.21,0,90.4,52.9,80.5,82.7,81.43,0.35,0.39,0.31,58.8,44.5
2022-06-16 12:00 AM CDT,68.6,98.2,84.33,0,89.7,34.8,80.8,83.3,81.98,0.41,0.44,0.39,58.8,38
2022-06-17 12:00 AM CDT,72.1,95.6,80.26,0.06,90.5,50.7,81.8,83.3,82.41,0.45,0.47,0.41,59.1,49.9
2022-06-18 12:00 AM CDT,68.9,92.2,79.82,0,90.7,38.6,79.9,82.3,80.98,0.47,0.5,0.39,62.5,35.6
2022-06-19 12:00 AM CDT,60.5,89.2,75.34,0,81.9,30.9,79,81.8,80.32,0.51,0.53,0.5,52.4,31.6
2022-06-20 12:00 AM CDT,57.3,94.2,77.36,0,91.4,26,78.8,81.4,80.08,0.54,0.56,0.53,54.2,33.5
2022-06-21 12:00 AM CDT,65.9,97.2,82.58,0,90.6,42.5,79.5,82.5,80.73,0.58,0.61,0.56,56.9,39.6
2022-06-22 12:00 AM CDT,70.9,100.2,85.9,0,90.4,34.3,81,83.7,82.15,0.64,0.69,0.61,57.5,38.1
2022-06-23 12:00 AM CDT,72.2,96.2,83.75,0,90.1,40.1,82,84.3,82.97,0.73,0.8,0.69,55.2,40.9
2022-06-24 12:00 AM CDT,66.5,96.2,82.21,0,86.8,31.5,81.8,84.3,83.08,0.85,0.92,0.8,55.9,35.6
2022-06-25 12:00 AM CDT,71.3,97,83.44,0.02,89.5,41.2,82.3,84.5,83.44,0.95,1,0.78,54.5,38.2
2022-06-26 12:00 AM CDT,72.4,94.9,82.22,0,90.4,41.1,82.3,84.5,83.32,0.99,1.04,0.96,55.1,41.7
2022-06-27 12:00 AM CDT,68.5,89.4,79.09,0,90.3,41.4,82.3,84.1,83.17,1.04,1.08,1.01,57.2,42.1
2022-06-28 12:00 AM CDT,65.7,91,77.63,0,80.9,36.9,81,83.5,82.14,1.07,1.11,1.03,55.4,37.3
2022-06-29 12:00 AM CDT,69.4,76.7,71.81,0,90.4,77.2,82,82.9,82.53,1.11,1.12,1.1,56.5,50.6
2022-06-30 12:00 AM CDT,71.5,92.5,82.08,0,90.2,47.3,81.8,83.9,82.74,112.97,117,110.4,59.3,43.9
