Date,Vantage Pro 2,,,,,,,,Soil Temp & Moisture,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Max Rain Rate,Relative Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture
2022-06-07 12:00 AM CDT,69.1,90.6,79.36,0,76,8.3,0,47.56,77.7,82.7,80.83,0.21,0.22,0.2
2022-06-08 12:00 AM CDT,73.9,89,78.93,0.22,76.1,0.1,0.16,33.68,78,81.4,79.67,0.22,0.22,0.21
2022-06-09 12:00 AM CDT,74.1,86.6,79.61,0.19,75.9,0.1,2.68,42.53,77.5,82,79.45,0.22,0.22,0.22
2022-06-10 12:00 AM CDT,68.7,86.7,78,0,76.8,6.1,0,50.3,76.4,82.1,79.41,0.23,0.23,0.22
2022-06-11 12:00 AM CDT,71.4,89.6,79.24,0,76,0.1,0,43.15,77.2,82.5,79.22,0.23,0.23,0.23
2022-06-12 12:00 AM CDT,70.6,91.9,80.94,0,75.7,0.1,0,43.15,78.8,84.1,82.58,0.24,0.24,0.23
2022-06-13 12:00 AM CDT,73.4,96.6,84.67,0,75.5,0.1,0,42.18,79.3,85.9,82.57,0.24,0.25,0.24
2022-06-14 12:00 AM CDT,75.1,96.5,82.46,0.22,76.6,0.1,2.06,35.47,81.2,86.5,83.16,0.25,0.26,0.25
2022-06-15 12:00 AM CDT,71.8,97.3,82.92,0.24,76.6,0.1,0.8,41.32,79,84.1,80.49,0.26,0.26,0.25
2022-06-16 12:00 AM CDT,72.6,95.4,82.98,0.01,75.8,4.6,0.01,44.83,79.3,86.5,82.97,0.26,0.27,0.26
2022-06-17 12:00 AM CDT,74.6,95.1,83.11,0,76.9,9.9,0,53.89,80.5,86.9,83.63,0.27,0.28,0.26
2022-06-18 12:00 AM CDT,71.8,93.2,82.26,0,76.5,16.2,0,56.36,79.9,86.5,83.07,0.28,0.29,0.27
2022-06-19 12:00 AM CDT,64.3,92.1,79.98,0,78.3,47.9,0,61.68,78.6,86.3,81.21,0.29,0.29,0.28
2022-06-20 12:00 AM CDT,66,94.2,80.08,0,78,42.2,0,59.44,78.6,86.5,83.53,0.31,0.32,0.29
2022-06-21 12:00 AM CDT,65.3,95.2,80.78,0,76.9,26.9,0,52.76,78.8,87.1,83,0.33,0.34,0.32
2022-06-22 12:00 AM CDT,68.2,98.6,83.62,0,76.2,7.6,0,46.28,80.1,89,84.49,0.35,0.38,0.34
2022-06-23 12:00 AM CDT,70.5,99,84.71,0,76.5,9.5,0,49.57,81.4,88.8,85.1,0.38,0.41,0.37
2022-06-24 12:00 AM CDT,71.5,97.6,84.78,0,77,17,0,52.15,81.8,89.6,85.62,0.42,0.45,0.4
2022-06-25 12:00 AM CDT,73.6,93.1,80.31,0.68,77.6,18.2,4.43,57.98,81.8,88.6,84.47,0.4,0.46,0.22
2022-06-26 12:00 AM CDT,72,92.7,81.9,0,76,8.2,0,45.46,79.5,85.9,82.54,0.21,0.22,0.21
2022-06-27 12:00 AM CDT,73.4,90.2,77.7,0.1,76.6,21.6,0.6,46.36,79.9,83.5,81.5,0.22,0.22,0.21
2022-06-28 12:00 AM CDT,71.4,92.2,79.38,1.59,76.7,9.9,3.03,41.86,78.2,84.7,81.06,0.22,0.22,0.2
2022-06-29 12:00 AM CDT,73.1,88,78.31,0.28,75.8,3,0.59,33.78,78.2,83.5,80.45,0.2,0.2,0.19
2022-06-30 12:00 AM CDT,73.1,86.6,78.26,0,76.2,5.1,0,36.4,78.6,82.1,80.16,0.2,0.2,0.2
