Date,Vantage Pro 2,,,,Soil Temp & Moisture,,,,,,Wiregrass REC WLL,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,Max Humidity,Min Humidity,,,,
2022-05-30 12:00 AM CDT,66.4,90.7,78.49,0,74.7,79.2,76.77,89.3,97.2,82.8,57.3,52,,,,
2022-05-31 12:00 AM CDT,68.8,91.6,78.55,0,75.9,79.3,77.64,102.11,109.1,96.6,58.9,52.8,,,,
2022-06-01 12:00 AM CDT,67.4,91.6,79.78,0,75.9,79.7,77.79,114.02,121.9,108.4,58.4,53.2,,,,
2022-06-02 12:00 AM CDT,70.8,91.4,78.93,0.04,76.8,79.9,78.23,125.42,132.2,112.6,59.1,54.5,,,,
2022-06-03 12:00 AM CDT,68.4,91.3,75.65,1.15,76.4,79.7,77.25,106.78,138.2,50.5,59.5,54.2,,,,
2022-06-04 12:00 AM CDT,68.3,88.2,77.42,0,75,79.7,77.26,70.18,77.7,62,60.5,54.3,,,,
2022-06-05 12:00 AM CDT,68.9,87.5,75.54,0.16,76.8,79.5,77.99,78.9,87.8,71.2,60,54.6,,,,
2022-06-06 12:00 AM CDT,68.1,90.4,77.69,0,76.1,80.8,78.18,84.93,93.9,76,58.9,54.2,,,,
2022-06-07 12:00 AM CDT,69.1,90.7,79.29,0,77.2,81.6,79.23,99.8,108,93.8,60.6,54.6,,,,
2022-06-08 12:00 AM CDT,72.4,91.5,81.07,0,78.2,81.8,79.81,112.21,119.5,106.9,62,54.6,,,,
2022-06-09 12:00 AM CDT,71,88.7,78.67,0.31,78.2,81,79.77,97.78,121.3,80.4,62.8,57.3,,,,
2022-06-10 12:00 AM CDT,69.7,89.7,78.06,0.3,77.9,82.1,79.59,91.22,107,61.1,60.4,54.3,,,,
2022-06-11 12:00 AM CDT,69.6,89.6,79.02,0.01,78,82.7,80.13,70.96,80.5,63,62.1,55.2,,,,
2022-06-12 12:00 AM CDT,72.4,91.6,81.59,0,79.7,83.7,81.52,87.78,96.9,79.7,61.7,56.7,,,,
2022-06-13 12:00 AM CDT,75.3,95.2,85.11,0,80.6,85.3,82.63,103.67,113.4,96.4,75,57.8,,,,
2022-06-14 12:00 AM CDT,73.2,95.8,81.9,0.05,81.8,85.5,83.23,117.64,128.1,112.7,74.9,53.7,,,,
2022-06-15 12:00 AM CDT,72.6,95.8,83,0,80.8,84.7,82.59,129.89,139,122.1,66.4,53.1,,,,
2022-06-16 12:00 AM CDT,73.2,97.3,83.41,0,81.4,85.5,83.22,141.67,150.3,136,64.7,53.2,,,,
2022-06-17 12:00 AM CDT,72.4,94.5,83.59,0,81.2,85.7,83.33,153.21,161.6,147.8,61.7,52.1,,,,
2022-06-18 12:00 AM CDT,73.6,94.1,84.74,0.33,81.6,85.3,83.44,124.69,161.7,109.2,62.7,54.7,,,,
2022-06-19 12:00 AM CDT,71.2,94,83.26,0,80.6,84.3,82.46,126.9,135.3,120.2,56.7,49.2,,,,
2022-06-20 12:00 AM CDT,74.9,94.3,83.65,0,81,84.1,82.48,140.75,149.4,134.5,60.1,50,,,,
2022-06-21 12:00 AM CDT,69.6,94.5,83.03,0,80.5,84.7,82.53,154.93,164.5,147.8,60.1,50.3,,,,
2022-06-22 12:00 AM CDT,74.2,98.2,86.23,0,81.2,85.3,83.07,170.21,180.5,162.7,58.8,53.3,,,,
2022-06-23 12:00 AM CDT,76.2,100.1,87.71,0,81.6,86.1,83.66,188.32,200,179.5,59.6,53.3,,,,
2022-06-24 12:00 AM CDT,76.8,99.2,87.3,0,82.1,86.7,84.35,200,200,200,59.9,53.3,,,,
2022-06-25 12:00 AM CDT,73.5,88.6,77.85,0.56,80.8,84.9,82.45,165.81,200,116.4,59,52.9,,,,
2022-06-26 12:00 AM CDT,72.6,92,81.36,0,79.7,83.3,81.4,129.6,136.8,119.4,56.8,50.5,,,,
2022-06-27 12:00 AM CDT,72.6,94.4,81.66,0.01,80.3,84.1,81.97,141.43,151.9,118.9,57.5,50,,,,
2022-06-28 12:00 AM CDT,71.2,94.7,81.1,0,80.3,83.7,82.12,150.19,156.3,143.7,58.1,51.2,,,,
2022-06-29 12:00 AM CDT,72.3,90.7,77.63,1.12,79.5,83.3,81.28,132.5,162.7,66.7,59.4,52.9,,,,
2022-06-30 12:00 AM CDT,71.9,86.8,77.83,0,79,82.3,80.54,82.67,91.1,72.7,61.4,52.9,,,,
