Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,74.65485714,21.40371429,1.66
2022-05-15 12:00 AM CDT,66.9,90.6,75.96,0.31,93,50.3,71.2,81.4,75.22,1.77,2,0.25,,,,,
2022-05-16 12:00 AM CDT,63.6,90.5,75.67,0,95.7,50.7,70.6,80.6,75.21,0.22,0.25,0.2,,,,,
2022-05-17 12:00 AM CDT,59.9,88.6,73.71,0,93,35.2,70.4,81.6,75.39,0.2,0.21,0.19,,,,,
2022-05-18 12:00 AM CDT,56.7,92.7,74.98,0,94.9,47.7,69.6,80.8,75.01,0.21,0.23,0.19,,,,,
2022-05-19 12:00 AM CDT,68.2,93.6,80.29,0,96,54.6,73,82.9,77.32,0.23,0.26,0.21,,,,,
2022-05-20 12:00 AM CDT,70.8,90.1,77.02,0.15,93.7,56.8,74.7,81,76.92,0.23,0.28,0.18,,,,,
2022-05-21 12:00 AM CDT,68.6,89.9,76.45,0.01,96.3,62.2,73.1,81,76.4,0.27,0.29,0.23,,,,,
2022-05-22 12:00 AM CDT,67,86.8,73.43,0.18,94.9,65.1,73,79.2,75.49,0.24,0.28,0.18,,,,,
2022-05-23 12:00 AM CDT,68.2,83.6,74.34,0.28,93.8,71.2,70.7,78.6,74.65,0.4,0.46,0.2,,,,,
2022-05-24 12:00 AM CDT,68.7,86.3,75.43,0.02,93.4,66.7,73,79.5,75.57,0.41,0.43,0.4,,,,,
2022-05-25 12:00 AM CDT,67.2,77,71.53,0.42,94.4,81.7,72.6,75.2,73.72,0.35,0.4,0.25,,,,,
2022-05-26 12:00 AM CDT,68.6,74.4,71.31,0.22,93.2,86.2,72.1,73.3,72.63,0.35,0.37,0.3,,,,,
2022-05-27 12:00 AM CDT,64.9,84.4,74.76,0,95,48.9,71.1,80.6,75.05,0.4,0.43,0.37,,,,,
2022-05-28 12:00 AM CDT,58.3,85.1,71.27,0,94.8,52.9,69.6,80.6,74.79,0.4,0.43,0.37,,,,,
2022-05-29 12:00 AM CDT,60.8,88.5,75.36,0,95.2,39.3,70.6,80.5,75.4,0.42,0.45,0.38,,,,,
2022-05-30 12:00 AM CDT,65.3,90.3,77.7,0,94.1,49.6,72.4,82,76.9,0.45,0.52,0.41,,,,,
2022-05-31 12:00 AM CDT,66.7,92,77.58,0,93.6,55,73.3,83.3,77.79,0.52,0.64,0.44,,,,,
2022-06-01 12:00 AM CDT,67.6,93.5,79.59,0,95.3,49,74.3,84.7,79.11,70.87,104.8,50,,,,,
2022-06-02 12:00 AM CDT,68.7,93.3,79.66,0,94.9,50.8,75.6,85.3,79.78,100.16,158.1,62,,,,,
2022-06-03 12:00 AM CDT,66.9,88.7,77.9,0,94.7,59.6,75.4,83.7,79.39,108.82,159,67.6,,,,,
2022-06-04 12:00 AM CDT,66.6,88.7,77.22,0,92.7,58.8,75.2,83.7,79.02,105.42,150.3,67.6,,,,,
2022-06-05 12:00 AM CDT,66.8,90.3,77.51,0,92.4,50.2,75.2,83.5,78.84,97.41,138.3,65.2,,,,,
2022-06-06 12:00 AM CDT,67.9,93.1,79.76,0,92.1,52.3,75.6,85.1,79.9,113.84,176.3,66.9,,,,,
2022-06-07 12:00 AM CDT,69.9,93.1,80.29,0,92.4,55.6,76.6,84.5,80.31,129.12,192.7,79.6,,,,,
2022-06-08 12:00 AM CDT,72.8,91.7,78.94,0.2,94.9,67.1,77.2,83.1,79.43,103.11,151.1,79.2,,,,,
2022-06-09 12:00 AM CDT,72.9,87.1,79.71,0,94.5,65.2,77.2,84.9,80.49,100.51,143.7,69.4,,,,,
2022-06-10 12:00 AM CDT,68.6,88.5,78.21,0,93.2,53.6,76.3,83.9,79.84,86.5,112.7,59,,,,,
2022-06-11 12:00 AM CDT,71.1,90.6,79.43,0,92.2,56.7,77,84.7,80.44,93.26,135.3,62.7,,,,,
2022-06-12 12:00 AM CDT,69.9,93.6,81.17,0,95,55.4,77,85.9,80.97,100.95,153.6,62.1,,,,,
2022-06-13 12:00 AM CDT,72.8,98.8,84.88,0,94.7,53.2,78.2,86.7,82.08,122.06,187.9,72,,,,,
2022-06-14 12:00 AM CDT,74.1,97.2,82.73,0,94.9,57.9,79.9,87.7,82.58,145.53,200,99.4,,,,,
2022-06-15 12:00 AM CDT,71,98.7,83.35,0,95,55.6,78.2,87.7,82.51,116.46,200,7.7,,,,,
2022-06-16 12:00 AM CDT,71.9,97.2,83.43,0,94.4,60.8,78.6,87.7,82.92,10.03,14.3,8.3,,,,,
2022-06-17 12:00 AM CDT,74.9,97,83.96,0,92.8,58.2,80.1,88.4,83.61,8.94,10.1,8.3,,,,,
2022-06-18 12:00 AM CDT,71.2,94.1,82.65,0,92.7,53.4,79.2,86.9,82.64,10.75,12.4,9.7,,,,,
2022-06-19 12:00 AM CDT,67.8,92.5,80.35,0,86.2,45.4,77.3,85.7,81.14,13.18,15.2,11.8,,,,,
2022-06-20 12:00 AM CDT,65.5,95.1,80.01,0,90.4,43.5,76.8,86.1,80.98,16.14,19,14.3,,,,,
2022-06-21 12:00 AM CDT,65.2,96,81.31,0,92.8,46,76.8,85.7,80.98,20.23,24.8,17.4,,,,,
2022-06-22 12:00 AM CDT,68.7,99.2,83.94,0,95,41.4,77.5,86.7,81.74,28.9,41,21.8,,,,,
2022-06-23 12:00 AM CDT,71,99.6,84.82,0,95.1,45,78.2,86.3,82,47.1,73.4,31.7,,,,,
2022-06-24 12:00 AM CDT,71,97.7,84.53,0,93.5,44.3,78.4,85.9,81.93,71.92,108.7,46.4,,,,,
2022-06-25 12:00 AM CDT,73.9,93.6,80.69,0,92.5,63,79.3,84.7,81.6,56.42,109.8,2.5,,,,,
2022-06-26 12:00 AM CDT,71.9,93.2,82.18,0,95,53.4,77.7,86.9,81.74,3.44,4.1,3,,,,,
2022-06-27 12:00 AM CDT,73,91.5,77.9,0,92.9,61,79,83.7,80.68,4.17,4.8,3.7,,,,,
2022-06-28 12:00 AM CDT,71.8,95.1,79.72,0,94.9,54.8,73.1,85.1,79.35,7.53,29.3,4.3,,,,,
2022-06-29 12:00 AM CDT,73,91.4,78.78,0.05,95.5,65.2,74.5,82,78.28,37.12,44.2,29.3,,,,,
2022-06-30 12:00 AM CDT,72.6,87.2,78.36,0,95,70.2,77.7,81.6,79.39,49.07,54.5,41.6,,,,,
